DATE,LATITUDE,LONGITUDE,SEA_LVL_PRES,SST_MM,SEA_SURF_TEMP,WAVE_PERIOD,WAVE_HGT
2013-07-01,37.54,130.0,10071.772727272728,9.0,220.0,4.583333333333333,2.2083333333333335
2013-07-02,37.54,130.0,9982.047619047618,9.0,198.58333333333334,6.041666666666667,3.8333333333333335
2013-07-03,37.54,130.0,9973.826086956522,9.0,172.45833333333334,6.208333333333333,1.7916666666666667
2013-07-04,37.54,130.0,9961.869565217392,9.0,164.04166666666666,4.041666666666667,1.4166666666666667
2013-07-05,37.54,130.0,9980.578947368422,9.0,166.0,6.0,1.3333333333333333
2013-07-06,37.54,130.0,10050.095238095239,9.0,171.20833333333334,5.75,1.0
2013-07-07,37.54,130.0,10076.875,9.0,159.16666666666666,4.0,1.3333333333333333
2013-07-08,37.54,130.0,10067.0,9.0,148.125,4.375,1.8333333333333333
2013-07-09,37.54,130.0,10049.166666666666,9.0,150.08333333333334,3.6666666666666665,1.0416666666666667
2013-07-10,37.54,130.0,10057.6,9.0,163.6818181818182,4.363636363636363,1.0
2013-07-11,37.54,130.0,10062.272727272728,9.0,169.125,4.291666666666667,1.0
2013-07-12,37.54,130.0,10075.125,9.0,167.16666666666666,3.75,1.0
2013-07-13,37.54,130.0,10108.565217391304,9.0,184.04347826086956,4.565217391304348,0.6086956521739131
2013-07-14,37.54,130.0,10108.57142857143,9.0,186.1304347826087,3.8260869565217392,1.2608695652173914
2013-07-15,37.54,130.0,10108.944444444445,9.0,200.21052631578948,3.1578947368421053,1.1578947368421053
2013-07-16,37.54,130.0,10068.833333333334,9.0,207.8125,4.8125,2.8125
2013-07-17,37.54,130.0,10071.42857142857,9.0,199.66666666666666,4.466666666666667,1.2
2013-07-18,37.54,130.0,10111.235294117647,9.0,206.0,5.15,1.5
2013-07-19,37.54,130.0,10102.045454545454,9.0,212.30434782608697,6.869565217391305,1.9130434782608696
2013-07-20,37.54,130.0,10065.727272727272,9.0,222.54166666666666,5.875,1.625
2013-07-21,37.54,130.0,10056.863636363636,9.0,231.34782608695653,3.9565217391304346,1.391304347826087
2013-07-22,37.54,130.0,10072.782608695652,9.0,234.7391304347826,4.913043478260869,1.0
2013-07-23,37.54,130.0,10011.6,9.0,232.1304347826087,4.173913043478261,2.0
2013-07-24,37.54,130.0,9974.260869565218,9.0,233.0,5.304347826086956,2.0869565217391304
2013-07-25,37.54,130.0,9995.260869565218,9.0,241.41666666666666,4.375,1.1666666666666667
2013-07-26,37.54,130.0,10021.583333333334,9.0,250.5,5.0,1.0
2013-07-27,37.54,130.0,10040.0,9.0,256.9166666666667,7.291666666666667,1.0
2013-07-28,37.54,130.0,10030.214285714286,9.0,253.21428571428572,6.357142857142857,1.2857142857142858
2013-07-29,37.54,130.0,10012.533333333333,9.0,251.77777777777777,5.777777777777778,1.0
2013-07-30,37.54,130.0,10018.608695652174,9.0,249.54166666666666,4.5,1.2083333333333333
2013-07-31,37.54,130.0,10023.739130434782,9.0,243.75,4.833333333333333,1.25
2013-08-01,37.54,130.0,10092.333333333334,9.0,249.20833333333334,5.708333333333333,1.5416666666666667
2013-08-02,37.54,130.0,10121.15,9.0,248.08333333333334,6.291666666666667,1.9583333333333333
2013-08-03,37.54,130.0,10068.083333333334,9.0,247.79166666666666,6.416666666666667,1.8333333333333333
2013-08-04,37.54,130.0,10025.954545454546,9.0,256.9166666666667,6.291666666666667,1.0416666666666667
2013-08-05,37.54,130.0,10026.85,9.0,259.0833333333333,5.416666666666667,1.0
2013-08-06,37.54,130.0,10054.541666666666,9.0,263.4583333333333,3.75,1.0
2013-08-07,37.54,130.0,10046.954545454546,9.0,269.75,4.25,0.875
2013-08-08,37.54,130.0,10021.727272727272,9.0,274.9583333333333,3.625,1.0
2013-08-09,37.54,130.0,10034.227272727272,9.0,275.2916666666667,4.125,1.0833333333333333
2013-08-10,37.54,130.0,10070.1,9.0,279.4347826086956,3.6956521739130435,1.0
2013-08-11,37.54,130.0,10099.78947368421,9.0,284.9166666666667,3.9583333333333335,1.0
2013-08-12,37.54,130.0,10088.761904761905,9.0,287.5416666666667,4.541666666666667,0.375
2013-08-13,37.54,130.0,10085.8,9.0,286.6666666666667,4.166666666666667,0.375
2013-08-14,37.54,130.0,10086.272727272728,9.0,288.1666666666667,5.583333333333333,0.9583333333333334
2013-08-15,37.54,130.0,10071.894736842105,9.0,287.625,3.9583333333333335,1.0
2013-08-16,37.54,130.0,10042.045454545454,9.0,283.2083333333333,4.0,1.4583333333333333
2013-08-17,37.54,130.0,10025.863636363636,9.0,273.2083333333333,4.208333333333333,1.6666666666666667
2013-08-18,37.54,130.0,10043.916666666666,9.0,278.4166666666667,4.041666666666667,1.1666666666666667
2013-08-19,37.54,130.0,10059.391304347826,9.0,279.0,4.125,0.5833333333333334
2013-08-20,37.54,130.0,10086.5,9.0,268.2916666666667,4.0,1.0416666666666667
2013-08-21,37.54,130.0,10097.173913043478,9.0,251.54166666666666,4.666666666666667,1.0
2013-08-22,37.54,130.0,10080.130434782608,9.0,245.625,3.5833333333333335,1.2916666666666667
2013-08-23,37.54,130.0,10062.434782608696,9.0,250.79166666666666,4.208333333333333,0.9583333333333334
2013-08-24,37.54,130.0,10057.727272727272,9.0,262.4583333333333,4.125,1.1666666666666667
2013-08-25,37.54,130.0,10062.739130434782,9.0,257.2173913043478,5.695652173913044,1.0
2013-08-26,37.54,130.0,10048.40909090909,9.0,253.5,7.791666666666667,1.625
2013-08-27,37.54,130.0,10076.791666666666,9.0,257.4583333333333,7.291666666666667,1.75
2013-08-28,37.54,130.0,10055.772727272728,9.0,256.1304347826087,4.869565217391305,2.0
2013-08-29,37.54,130.0,9985.136363636364,9.0,237.875,5.375,2.5416666666666665
2013-08-30,37.54,130.0,10020.958333333334,9.0,238.79166666666666,6.625,2.4583333333333335
